,Bad practice Warnings,Correctness Warnings,Dodgy code Warnings,Experimental Warnings,Internationalization Warnings,Malicious code vulnerability Warnings,Multithreaded correctness Warnings,Performance Warnings,Total,Density*
JacksonDatabind/53_buggy,90,6,20,0,0,181,9,1,307,8.95
JacksonDatabind/54_buggy,88,11,17,0,0,184,9,1,310,8.83
JacksonDatabind/55_buggy,90,6,20,0,0,181,9,1,307,8.94
JacksonDatabind/56_buggy,90,6,20,0,0,181,9,1,307,8.93
JacksonDatabind/57_buggy,90,6,20,0,0,181,9,1,307,8.93
JacksonDatabind/58_buggy,90,6,20,0,0,181,9,1,307,8.93
JacksonDatabind/59_buggy,87,12,17,0,0,184,9,1,310,8.82
JacksonDatabind/60_buggy,87,12,17,0,0,184,9,1,310,8.81
JacksonDatabind/61_buggy,87,12,17,0,0,184,9,1,310,8.8
JacksonDatabind/62_buggy,89,6,20,0,0,181,9,1,306,8.92
JacksonDatabind/63_buggy,87,13,17,0,0,184,9,1,311,8.82
JacksonDatabind/64_buggy,87,13,17,0,0,184,9,1,311,8.82
JacksonDatabind/65_buggy,87,13,17,0,0,184,9,1,311,8.81
JacksonDatabind/66_buggy,87,13,17,0,0,184,9,1,311,8.82
JacksonDatabind/67_buggy,87,13,17,0,0,184,9,1,311,8.82
JacksonDatabind/68_buggy,87,13,17,0,0,184,9,1,311,8.82
JacksonDatabind/69_buggy,89,6,20,0,0,181,9,1,306,8.91
JacksonDatabind/70_buggy,87,13,17,0,0,184,9,1,311,8.8
JacksonDatabind/71_buggy,89,6,20,0,0,181,9,1,306,8.91
JacksonDatabind/72_buggy,89,6,20,0,0,181,9,1,306,8.91
JacksonDatabind/73_buggy,87,13,17,0,0,184,9,1,311,8.8
JacksonDatabind/74_buggy,87,13,17,0,0,185,7,1,310,8.77
JacksonDatabind/75_buggy,87,12,17,0,0,185,7,1,309,8.74
JacksonDatabind/76_buggy,86,12,17,0,0,185,7,1,308,8.7
JacksonDatabind/77_buggy,89,6,20,0,0,181,9,1,306,8.91
JacksonDatabind/78_buggy,86,12,17,0,0,185,7,1,308,8.7
JacksonDatabind/79_buggy,89,6,20,0,0,181,9,1,306,8.9
JacksonDatabind/80_buggy,97,22,21,0,0,183,7,1,331,8.9
JacksonDatabind/81_buggy,97,22,21,0,0,183,7,1,331,8.9
JacksonDatabind/82_buggy,86,12,17,0,0,185,7,1,308,8.68
JacksonDatabind/83_buggy,86,12,17,0,0,185,7,1,308,8.68
JacksonDatabind/84_buggy,86,12,18,0,0,185,7,1,309,8.71
JacksonDatabind/85_buggy,86,12,18,0,0,185,7,1,309,8.71
JacksonDatabind/86_buggy,86,12,18,0,0,185,7,1,309,8.71
JacksonDatabind/87_buggy,86,12,18,0,0,185,7,1,309,8.71
JacksonDatabind/88_buggy,86,12,18,0,0,185,8,1,310,8.73
JacksonDatabind/89_buggy,86,12,18,0,0,185,8,1,310,8.73
JacksonDatabind/90_buggy,86,12,18,0,0,185,8,1,310,8.71
JacksonDatabind/91_buggy,86,12,18,0,0,185,8,1,310,8.71
JacksonDatabind/92_buggy,89,6,20,0,0,181,9,1,306,8.9
JacksonDatabind/93_buggy,86,12,18,0,0,185,8,1,310,8.7
JacksonDatabind/94_buggy,89,6,20,0,0,181,9,1,306,8.9
JacksonDatabind/95_buggy,86,12,18,0,0,185,8,1,310,8.7
JacksonDatabind/96_buggy,100,22,18,0,0,184,5,1,330,8.67
JacksonDatabind/97_buggy,100,22,18,0,0,184,5,1,330,8.67
JacksonDatabind/98_buggy,100,22,18,0,0,184,5,1,330,8.67
JacksonDatabind/99_buggy,86,12,18,0,0,185,8,1,310,8.7
JacksonDatabind/100_buggy,100,22,18,0,0,184,5,1,330,8.67
JacksonDatabind/101_buggy,100,22,18,0,0,184,5,1,330,8.67
JacksonDatabind/102_buggy,100,22,18,0,0,184,5,1,330,8.66
JacksonDatabind/103_buggy,100,22,18,0,0,184,5,1,330,8.66
JacksonDatabind/104_buggy,100,22,18,0,0,184,5,1,330,8.66
JacksonDatabind/105_buggy,100,22,18,0,0,184,5,1,330,8.65
JacksonDatabind/106_buggy,100,22,18,0,0,185,6,1,332,8.63
JacksonDatabind/107_buggy,100,22,18,0,0,184,6,1,331,8.68
JacksonDatabind/108_buggy,100,22,18,0,0,185,6,1,332,8.62
JacksonDatabind/109_buggy,100,22,18,0,0,185,6,1,332,8.61
JacksonDatabind/110_buggy,100,22,18,0,0,184,6,1,331,8.68
JacksonDatabind/111_buggy,100,22,18,0,0,184,6,1,331,8.68
JacksonDatabind/112_buggy,100,22,18,0,0,184,6,1,331,8.67
JacksonXml/1_buggy,9,0,3,0,0,19,0,1,32,10.75
JacksonXml/2_buggy,9,0,3,0,0,19,0,1,32,10.73
JacksonXml/3_buggy,9,0,3,0,0,19,0,1,32,10.73
JacksonXml/4_buggy,9,0,3,0,0,19,0,1,32,10.66
JacksonXml/5_buggy,10,0,3,0,0,19,0,1,33,10.64
JacksonXml/6_buggy,10,0,3,0,0,19,0,1,33,10.64
Jsoup/1_buggy,0,0,3,0,0,4,0,0,7,3.45
Jsoup/2_buggy,0,0,3,0,0,4,0,0,7,3.45
Jsoup/3_buggy,0,0,3,0,0,4,0,0,7,3.4
Jsoup/4_buggy,0,0,6,0,0,6,0,1,13,4.75
Jsoup/5_buggy,0,0,6,0,0,6,0,1,13,4.75
Jsoup/6_buggy,0,0,6,0,0,7,0,1,14,4.3
Jsoup/7_buggy,0,0,6,0,0,8,0,1,15,4.57
Jsoup/8_buggy,0,0,6,0,0,8,0,1,15,4.55
Jsoup/9_buggy,0,0,6,0,0,8,0,1,15,4.55
Jsoup/10_buggy,0,0,6,0,0,9,0,1,16,4.77
Jsoup/11_buggy,0,0,6,0,0,9,0,1,16,4.75
Jsoup/12_buggy,1,0,8,0,0,9,0,4,22,5.79
Jsoup/13_buggy,1,0,17,0,0,8,0,4,30,4.31
Jsoup/14_buggy,1,0,17,0,0,8,0,4,30,4.28
Jsoup/15_buggy,1,0,16,0,0,8,0,4,29,4.11
Jsoup/16_buggy,1,0,13,0,0,8,0,4,26,3.68
Jsoup/17_buggy,1,0,13,0,0,8,0,4,26,3.68
Jsoup/18_buggy,1,0,13,0,0,8,0,4,26,3.68
Jsoup/19_buggy,1,0,13,0,0,8,0,4,26,3.67
Jsoup/20_buggy,1,0,13,0,0,9,0,2,25,3.42
Jsoup/21_buggy,1,0,13,0,0,9,0,2,25,3.42
Jsoup/22_buggy,1,0,13,0,0,9,0,2,25,3.41
Jsoup/23_buggy,1,0,13,0,0,9,0,2,25,3.4
Jsoup/24_buggy,1,0,13,0,0,9,0,2,25,3.39
Jsoup/25_buggy,1,0,13,0,0,9,0,2,25,3.38
Jsoup/26_buggy,1,0,13,0,0,10,0,2,26,3.5
Jsoup/27_buggy,1,0,13,0,0,10,0,2,26,3.49
Jsoup/28_buggy,1,0,13,0,0,10,0,2,26,3.49
Jsoup/29_buggy,1,0,12,0,0,10,0,1,24,3.23
Jsoup/30_buggy,1,0,12,0,0,10,0,1,24,3.22
Jsoup/31_buggy,1,0,12,0,0,10,0,1,24,3.21
Jsoup/32_buggy,1,0,12,0,0,9,0,1,23,3.05
Jsoup/33_buggy,1,0,13,0,0,9,0,1,24,3.07
Jsoup/34_buggy,1,0,13,0,0,9,0,1,24,3.07
Jsoup/35_buggy,1,0,13,0,0,9,0,1,24,3.07
Jsoup/36_buggy,2,0,11,0,0,10,0,1,24,3.03
Jsoup/37_buggy,2,0,11,0,0,10,0,1,24,3.02
Jsoup/38_buggy,2,0,11,0,0,10,0,1,24,3.02
Jsoup/39_buggy,2,0,11,0,0,10,0,1,24,3.0
Jsoup/40_buggy,2,0,12,0,0,10,0,1,25,3.12
Jsoup/41_buggy,4,0,12,0,0,9,0,3,28,3.32
Jsoup/42_buggy,4,0,11,0,0,9,0,3,27,3.2
Jsoup/43_buggy,2,0,13,0,0,9,0,3,27,3.17
Jsoup/44_buggy,2,0,13,0,0,9,0,3,27,3.17
Jsoup/45_buggy,2,0,13,0,0,10,0,3,28,3.27
Jsoup/46_buggy,2,0,13,0,0,10,0,3,28,3.27
Jsoup/47_buggy,2,0,13,0,0,10,0,3,28,3.27
Jsoup/48_buggy,2,0,13,0,0,10,0,3,28,3.25
Jsoup/49_buggy,2,0,13,0,0,12,0,3,30,3.47
Jsoup/50_buggy,10,0,12,0,0,12,0,2,36,4.16
Jsoup/51_buggy,10,0,12,0,0,12,0,2,36,4.16
Jsoup/52_buggy,10,0,11,0,0,12,0,2,35,4.01
Jsoup/53_buggy,10,0,11,0,0,12,0,2,35,4.01
Jsoup/54_buggy,10,0,11,0,0,12,0,2,35,4.0
Jsoup/55_buggy,11,0,11,0,1,13,0,3,39,4.39
Jsoup/56_buggy,11,0,11,0,0,13,0,3,38,4.27
Jsoup/57_buggy,11,0,11,0,0,13,0,3,38,4.26
Jsoup/58_buggy,11,1,13,0,0,13,0,3,41,4.54
Jsoup/59_buggy,11,1,13,0,0,13,0,3,41,4.53
Jsoup/60_buggy,11,1,13,0,0,13,0,3,41,4.53
Jsoup/61_buggy,11,1,13,0,0,13,0,3,41,4.52
Jsoup/62_buggy,11,1,12,0,0,13,0,3,40,4.37
Jsoup/63_buggy,14,1,13,0,0,12,0,3,43,4.65
Jsoup/64_buggy,14,1,13,0,0,12,0,3,43,4.66
Jsoup/65_buggy,14,2,13,0,0,14,0,2,45,4.76
Jsoup/66_buggy,14,2,13,0,0,14,0,2,45,4.7
Jsoup/67_buggy,15,2,13,0,0,14,0,2,46,4.77
Jsoup/68_buggy,15,2,13,0,0,14,0,3,47,4.87
Jsoup/69_buggy,15,2,8,0,0,14,0,3,42,4.36
Jsoup/70_buggy,15,2,8,0,0,14,0,3,42,4.35
Jsoup/71_buggy,15,2,8,0,0,14,0,3,42,4.35
Jsoup/72_buggy,16,2,8,0,0,14,0,3,43,4.44
Jsoup/73_buggy,16,2,8,0,0,14,0,3,43,4.44
Jsoup/74_buggy,16,2,8,0,0,14,0,3,43,4.44
Jsoup/75_buggy,17,2,8,0,0,14,0,3,44,4.52
Jsoup/76_buggy,17,2,8,0,0,14,0,3,44,4.51
Jsoup/77_buggy,17,2,8,0,0,14,0,3,44,4.51
Jsoup/78_buggy,16,2,8,0,0,14,0,3,43,4.41
Jsoup/79_buggy,16,2,8,0,0,14,0,3,43,4.41
Jsoup/80_buggy,16,2,8,0,0,14,0,3,43,4.41
Jsoup/81_buggy,16,2,8,0,0,16,0,4,46,4.7
Jsoup/82_buggy,16,1,8,0,0,16,0,3,44,4.51
Jsoup/83_buggy,16,1,8,0,0,16,0,3,44,4.51
Jsoup/84_buggy,16,1,10,0,0,16,0,3,46,4.71
Jsoup/85_buggy,16,4,10,0,0,16,0,3,49,5.0
Jsoup/86_buggy,16,4,10,0,0,16,0,3,49,5.0
Jsoup/87_buggy,16,4,10,0,0,16,0,3,49,5.0
Jsoup/88_buggy,16,4,10,0,0,16,0,3,49,5.0
Jsoup/89_buggy,16,4,10,0,0,16,0,3,49,5.0
Jsoup/90_buggy,16,3,10,0,0,16,0,3,48,4.89
Jsoup/91_buggy,16,3,10,0,0,16,0,3,48,4.89
Jsoup/92_buggy,14,3,9,0,0,16,0,1,43,4.36
Jsoup/93_buggy,14,3,9,0,0,16,0,1,43,4.35
JxPath/1_buggy,49,4,9,1,3,80,1,26,173,14.41
JxPath/2_buggy,49,4,9,1,3,80,1,26,173,14.41
JxPath/3_buggy,49,4,9,1,3,80,1,26,173,14.4
JxPath/4_buggy,49,4,9,1,3,80,3,20,169,14.34
JxPath/5_buggy,49,3,9,1,3,80,4,20,169,14.35
JxPath/6_buggy,49,3,9,1,3,80,4,20,169,14.25
JxPath/7_buggy,49,3,9,1,3,80,4,20,169,14.26
JxPath/8_buggy,49,3,9,1,3,80,4,20,169,14.22
JxPath/9_buggy,49,3,9,1,3,80,4,20,169,14.22
JxPath/10_buggy,49,3,9,1,3,80,4,20,169,14.21
JxPath/11_buggy,49,3,9,1,3,80,4,20,169,14.19
JxPath/12_buggy,49,3,9,1,3,80,4,20,169,14.18
JxPath/13_buggy,50,3,9,1,3,81,4,20,171,14.34
JxPath/14_buggy,51,3,9,1,3,82,4,20,173,14.49
JxPath/15_buggy,51,3,10,1,3,83,4,20,175,14.65
JxPath/16_buggy,51,2,9,1,3,83,4,20,173,14.45
JxPath/17_buggy,51,2,9,1,3,83,4,20,173,14.44
JxPath/18_buggy,51,2,9,1,3,83,4,20,173,14.44
JxPath/19_buggy,42,2,6,0,3,83,3,20,159,13.74
JxPath/20_buggy,42,2,8,0,3,83,4,20,162,13.92
JxPath/21_buggy,42,2,8,0,3,83,4,20,162,13.91
JxPath/22_buggy,42,2,7,0,3,83,4,20,161,13.82
Lang/1_buggy,10,1,10,0,1,10,0,1,33,2.17
Lang/3_buggy,10,1,11,0,1,10,0,1,34,2.24
Lang/4_buggy,10,2,10,0,1,10,0,1,34,2.24
Lang/5_buggy,10,2,10,0,1,10,0,1,34,2.26
Lang/6_buggy,10,2,10,0,1,10,0,1,34,2.26
Lang/7_buggy,10,1,10,0,1,10,0,1,33,2.2
Lang/8_buggy,10,1,10,0,1,10,0,1,33,2.3
Lang/9_buggy,10,0,10,0,1,10,0,1,32,2.23
Lang/10_buggy,10,0,10,0,1,10,0,1,32,2.22
Lang/11_buggy,10,0,10,0,1,10,0,1,32,2.24
Lang/12_buggy,10,0,10,0,1,10,0,1,32,2.24
Lang/13_buggy,10,0,10,0,1,10,0,1,32,2.23
Lang/14_buggy,8,0,8,0,1,9,0,1,27,1.94
Lang/15_buggy,8,0,8,0,1,9,0,1,27,1.95
Lang/16_buggy,9,1,8,0,0,11,0,1,30,2.13
Lang/17_buggy,8,0,6,0,0,9,0,1,24,1.79
Lang/18_buggy,8,0,6,0,0,9,0,1,24,1.79
Lang/19_buggy,8,0,6,0,0,8,0,2,24,1.79
Lang/20_buggy,8,0,6,0,0,8,0,2,24,1.79
Lang/21_buggy,16,1,6,0,0,9,0,2,34,2.55
Lang/22_buggy,16,1,8,0,0,9,0,2,36,2.7
Lang/23_buggy,16,1,8,0,0,9,0,2,36,2.71
Lang/24_buggy,16,1,8,0,0,9,0,2,36,2.72
Lang/25_buggy,16,1,8,0,0,9,0,2,36,2.72
Lang/26_buggy,16,1,7,0,0,9,0,2,35,2.68
Lang/27_buggy,16,1,7,0,0,9,0,2,35,2.7
Lang/28_buggy,14,2,7,0,0,9,0,2,34,2.69
Lang/29_buggy,14,2,7,0,0,9,0,2,34,2.69
Lang/30_buggy,14,2,7,0,0,9,0,2,34,2.72
Lang/31_buggy,14,2,7,0,0,9,0,2,34,2.73
Lang/32_buggy,14,2,7,0,0,9,0,2,34,2.77
Lang/33_buggy,14,2,7,0,0,9,0,2,34,2.77
Lang/34_buggy,14,2,7,0,0,9,0,2,34,2.77
Lang/35_buggy,14,2,7,0,0,9,0,2,34,2.81
Lang/36_buggy,14,2,7,0,0,10,0,2,35,2.9
Lang/37_buggy,14,2,7,0,0,10,0,2,35,2.9
Lang/38_buggy,14,2,7,0,0,10,0,2,35,2.9
Lang/39_buggy,14,2,7,0,0,10,0,2,35,2.91
Lang/40_buggy,15,2,7,0,0,10,0,1,35,2.84
Lang/41_buggy,15,2,7,0,0,10,0,1,35,2.85
Lang/42_buggy,17,3,13,0,1,30,0,3,67,4.96
Lang/43_buggy,17,3,13,0,1,30,0,3,67,4.96
Lang/44_buggy,17,3,13,0,1,30,0,3,67,4.96
Lang/45_buggy,18,3,13,0,1,30,0,3,68,5.05
Lang/46_buggy,18,3,12,0,1,28,0,3,65,4.99
Lang/47_buggy,18,2,14,0,1,30,0,3,68,5.09
Lang/48_buggy,18,2,12,0,1,30,0,3,66,5.01
Lang/49_buggy,18,2,11,0,1,30,0,3,65,5.0
Lang/50_buggy,18,2,11,0,1,30,0,3,65,5.06
Lang/51_buggy,18,2,9,0,1,27,0,3,60,4.87
Lang/52_buggy,18,2,9,0,1,27,0,3,60,4.87
Lang/53_buggy,18,2,9,0,1,27,0,2,59,4.8
Lang/54_buggy,18,2,9,0,1,27,0,2,59,4.82
Lang/55_buggy,18,2,9,0,1,27,0,2,59,4.82
Lang/56_buggy,18,2,9,0,1,27,0,2,59,4.81
Lang/57_buggy,19,2,9,0,1,27,0,2,60,4.89
Lang/58_buggy,19,2,9,0,1,27,0,2,60,4.89
Lang/59_buggy,19,2,9,0,1,27,0,2,60,4.89
Lang/60_buggy,19,2,9,0,1,27,0,2,60,4.9
Lang/61_buggy,19,2,9,0,1,27,0,2,60,4.9
Lang/62_buggy,19,3,10,0,1,27,0,2,62,5.06
Lang/63_buggy,19,3,10,0,1,27,0,2,62,5.1
Lang/64_buggy,19,3,10,0,1,27,0,2,62,5.13
Lang/65_buggy,20,3,11,0,1,29,0,2,66,5.49
Math/1_buggy,13,1,1,0,0,234,1,2,252,4.55
Math/2_buggy,10,1,1,0,0,234,1,6,253,4.6
Math/3_buggy,11,1,3,0,0,233,1,6,255,4.7
Math/4_buggy,11,1,1,0,0,233,1,6,253,4.68
Math/5_buggy,12,1,8,0,0,225,4,7,257,4.84
Math/6_buggy,11,1,7,0,0,225,4,5,253,4.77
Math/7_buggy,11,1,7,0,0,225,4,5,253,4.79
Math/8_buggy,17,1,7,0,0,223,4,5,257,4.91
Math/9_buggy,15,1,9,0,0,223,4,5,257,4.93
Math/10_buggy,15,1,9,0,0,209,4,5,243,4.78
Math/11_buggy,15,1,9,0,0,207,4,5,241,4.76
Math/12_buggy,15,1,10,0,0,207,4,5,242,4.78
Math/13_buggy,15,1,10,0,0,207,4,5,242,4.78
Math/14_buggy,15,1,9,0,0,207,4,5,241,4.76
Math/15_buggy,10,1,5,0,1,199,4,5,225,4.95
Math/16_buggy,10,1,5,0,1,199,4,5,225,4.96
Math/17_buggy,10,1,3,0,1,196,0,5,216,4.85
Math/18_buggy,10,1,3,0,3,196,0,5,218,4.91
Math/19_buggy,10,1,3,0,3,195,0,5,217,4.89
Math/20_buggy,10,1,3,0,3,195,0,5,217,4.89
Math/21_buggy,10,1,4,0,3,195,0,5,218,4.95
Math/22_buggy,10,1,4,0,3,195,0,5,218,4.95
Math/23_buggy,10,1,4,0,3,195,0,5,218,4.95
Math/24_buggy,10,1,4,0,3,191,0,5,214,4.87
Math/25_buggy,12,1,6,0,3,191,0,5,218,4.99
Math/26_buggy,12,3,6,0,3,191,0,7,222,5.22
Math/27_buggy,12,3,6,0,3,191,0,7,222,5.22
Math/28_buggy,12,3,6,0,3,191,0,7,222,5.22
Math/29_buggy,14,1,3,0,3,189,0,7,217,5.2
Math/30_buggy,14,1,3,0,3,189,0,7,217,5.2
Math/31_buggy,14,1,3,0,3,189,0,7,217,5.21
Math/32_buggy,14,1,3,0,3,189,0,7,217,5.21
Math/33_buggy,12,1,3,0,3,189,0,5,213,5.18
Math/34_buggy,12,1,3,0,3,189,0,5,213,5.18
Math/35_buggy,12,1,3,0,3,192,0,5,216,5.25
Math/36_buggy,16,2,7,0,3,198,0,6,232,5.6
Math/37_buggy,15,2,6,0,5,190,0,6,224,5.39
Math/38_buggy,16,2,6,0,5,190,0,6,225,5.45
Math/39_buggy,16,2,6,0,5,190,0,6,225,5.45
Math/40_buggy,16,2,6,0,5,190,0,6,225,5.44
Math/41_buggy,16,2,6,0,5,190,0,6,225,5.44
Math/42_buggy,16,2,6,0,5,190,0,6,225,5.44
Math/43_buggy,13,2,6,0,5,190,0,6,222,5.4
Math/44_buggy,13,2,6,0,5,189,0,6,221,5.41
Math/45_buggy,13,2,6,0,5,189,0,6,221,5.49
Math/46_buggy,12,2,6,0,5,178,0,6,209,5.35
Math/47_buggy,12,2,6,0,5,178,0,6,209,5.35
Math/48_buggy,12,2,6,0,5,178,0,6,209,5.34
Math/49_buggy,12,2,9,0,5,170,0,6,204,5.19
Math/50_buggy,12,2,9,0,5,170,0,6,204,5.18
Math/51_buggy,12,2,9,0,5,170,0,6,204,5.19
Math/52_buggy,12,2,4,0,5,176,0,6,205,5.43
Math/53_buggy,12,2,4,0,5,170,0,5,198,5.43
Math/54_buggy,11,2,3,0,5,117,0,6,144,4.36
Math/55_buggy,11,1,3,0,5,117,0,5,142,4.33
Math/56_buggy,11,1,3,0,5,117,0,5,142,4.33
Math/57_buggy,12,1,6,0,5,117,0,5,146,4.45
Math/58_buggy,11,1,4,0,5,117,0,6,144,4.42
Math/59_buggy,10,1,4,0,5,111,0,6,137,4.29
Math/60_buggy,10,1,5,0,5,111,0,4,136,4.3
Math/61_buggy,10,2,5,0,5,116,0,4,142,4.23
Math/62_buggy,10,2,5,0,5,114,0,4,140,4.18
Math/63_buggy,10,2,4,0,5,101,0,5,127,4.07
Math/64_buggy,7,3,4,0,5,104,0,4,127,4.25
Math/65_buggy,7,3,4,0,5,104,0,4,127,4.25
Math/66_buggy,4,3,4,0,5,104,0,7,127,4.29
Math/67_buggy,4,2,4,0,5,104,0,4,123,4.2
Math/68_buggy,3,2,1,0,5,106,0,4,121,4.28
Math/69_buggy,3,2,1,0,5,106,0,4,121,4.28
Math/70_buggy,3,2,1,0,5,106,0,4,121,4.27
Math/71_buggy,3,2,1,0,5,106,0,4,121,4.35
Math/72_buggy,3,2,1,0,5,108,0,4,123,4.56
Math/73_buggy,3,2,1,0,5,108,0,4,123,4.56
Math/74_buggy,3,2,1,0,5,108,0,4,123,4.45
Math/75_buggy,3,3,1,0,5,108,0,4,124,4.49
Math/76_buggy,3,3,1,0,5,108,0,4,124,4.49
Math/77_buggy,3,3,1,0,5,108,0,4,124,4.5
Math/78_buggy,3,3,1,0,5,105,0,4,121,4.46
Math/79_buggy,3,3,1,0,5,105,0,4,121,4.47
Math/80_buggy,3,3,1,0,5,105,0,4,121,4.47
Math/81_buggy,3,3,1,0,5,105,0,4,121,4.47
Math/82_buggy,3,3,2,0,5,104,0,4,121,4.55
Math/83_buggy,3,3,2,0,5,104,0,4,121,4.55
Math/84_buggy,3,3,2,0,5,104,0,4,121,4.56
Math/85_buggy,3,3,2,0,5,108,0,4,125,4.76
Math/86_buggy,8,2,5,0,5,99,2,3,124,4.95
Math/87_buggy,8,2,5,0,5,99,2,3,124,4.95
Math/88_buggy,8,2,5,0,5,99,2,3,124,4.95
Math/89_buggy,4,2,3,0,5,84,2,3,103,4.8
Math/90_buggy,4,2,3,0,5,84,2,3,103,4.8
Math/91_buggy,5,2,4,0,5,84,4,3,107,5.07
Math/92_buggy,5,2,4,0,5,70,5,3,94,5.27
Math/93_buggy,5,2,4,0,5,70,5,3,94,5.29
Math/94_buggy,7,3,3,0,5,70,9,3,100,5.67
Math/95_buggy,5,1,2,0,4,64,1,3,80,5.68
Math/96_buggy,5,1,1,0,4,64,1,3,79,5.75
Math/97_buggy,6,1,1,0,4,55,1,3,71,6.03
Math/98_buggy,5,1,1,0,4,55,1,3,70,5.95
Math/99_buggy,5,2,4,0,5,74,5,3,98,5.14
Math/100_buggy,3,1,0,0,4,58,1,34,101,8.74
Math/101_buggy,3,1,0,0,4,58,1,33,100,8.66
Math/102_buggy,4,1,1,0,4,61,4,28,103,9.29
Math/103_buggy,4,1,2,0,4,45,2,28,86,7.97
Math/104_buggy,4,1,2,0,4,45,2,28,86,8.0
Math/105_buggy,4,1,2,0,4,31,1,24,67,9.74
Math/106_buggy,4,1,2,0,4,31,1,23,66,10.03
Mockito/1_buggy,16,3,2,0,2,50,2,1,76,10.24
Mockito/2_buggy,15,2,1,0,2,47,2,1,70,9.56
Mockito/3_buggy,16,3,1,0,2,50,2,1,75,10.1
Mockito/4_buggy,15,2,1,0,2,47,2,1,70,9.59
Mockito/5_buggy,16,2,1,0,2,47,2,1,71,9.76
Mockito/6_buggy,16,2,1,0,2,47,2,1,71,9.75
Mockito/7_buggy,16,2,1,0,2,47,2,1,71,9.75
Mockito/8_buggy,16,2,1,0,2,47,2,1,71,9.75
Mockito/9_buggy,16,2,1,0,0,47,2,1,69,9.64
Mockito/10_buggy,17,2,1,0,0,49,2,1,72,10.23
Mockito/11_buggy,17,4,1,0,0,49,2,1,74,10.63
Mockito/12_buggy,8,1,0,0,0,34,1,9,53,11.15
Mockito/13_buggy,8,1,0,0,0,34,1,9,53,11.18
Mockito/14_buggy,9,1,0,0,0,36,1,9,56,11.99
Mockito/15_buggy,8,1,0,0,0,36,1,9,55,11.13
Mockito/16_buggy,9,1,0,0,0,29,1,9,49,11.64
Mockito/17_buggy,9,1,0,0,0,29,1,9,49,11.66
Mockito/18_buggy,16,3,1,0,2,50,2,1,75,10.11
Mockito/19_buggy,16,3,1,0,2,50,2,1,75,10.11
Mockito/20_buggy,17,3,1,0,2,51,3,1,78,10.12
Mockito/21_buggy,16,2,1,0,0,47,2,1,69,9.66
Mockito/22_buggy,17,4,0,0,0,49,2,2,74,10.8
Mockito/23_buggy,17,4,0,0,0,49,2,5,77,11.32
Mockito/24_buggy,16,4,0,0,0,49,2,5,76,11.17
Mockito/25_buggy,14,3,0,0,0,47,1,4,69,10.49
Mockito/26_buggy,12,2,0,0,0,46,1,4,65,10.49
Mockito/27_buggy,9,2,0,0,0,40,1,10,62,11.28
Mockito/28_buggy,8,1,0,0,0,36,1,9,55,11.06
Mockito/29_buggy,8,1,0,0,0,36,1,9,55,11.13
Mockito/30_buggy,8,1,0,0,0,36,1,9,55,11.12
Mockito/31_buggy,8,1,0,0,0,36,1,9,55,11.12
Mockito/32_buggy,8,1,0,0,0,34,1,9,53,11.06
Mockito/33_buggy,8,1,0,0,0,34,1,9,53,11.09
Mockito/34_buggy,9,1,0,0,0,29,1,9,49,11.64
Mockito/35_buggy,9,1,0,0,0,31,1,9,51,12.52
Mockito/36_buggy,6,1,0,0,0,29,1,9,46,11.43
Mockito/37_buggy,6,1,0,0,0,29,1,9,46,11.44
Mockito/38_buggy,1,1,0,0,0,28,1,11,42,11.72
Time/1_buggy,13,0,7,0,1,127,0,1,149,7.74
Time/2_buggy,13,0,7,0,1,127,0,1,149,7.74
Time/3_buggy,13,0,7,0,1,127,0,1,149,7.74
Time/4_buggy,13,0,7,0,1,127,0,1,149,7.74
Time/5_buggy,13,0,7,0,1,119,0,1,141,7.36
Time/6_buggy,13,0,7,0,1,119,0,1,141,7.09
Time/7_buggy,13,0,7,0,1,119,0,1,141,7.17
Time/8_buggy,13,0,7,0,1,119,0,1,141,7.19
Time/9_buggy,13,0,7,0,1,119,0,1,141,7.19
Time/10_buggy,13,0,7,0,1,119,0,1,141,7.19
Time/11_buggy,13,0,7,0,1,119,0,2,142,7.24
Time/12_buggy,14,0,7,0,1,119,0,2,143,7.61
Time/13_buggy,14,0,7,0,1,119,0,2,143,7.61
Time/14_buggy,14,0,7,0,1,118,0,2,142,7.57
Time/15_buggy,14,0,7,0,1,118,0,2,142,7.57
Time/16_buggy,14,0,7,0,1,118,0,2,142,7.57
Time/17_buggy,14,0,7,0,1,118,0,2,142,7.58
Time/18_buggy,13,0,7,0,1,118,0,2,141,7.53
Time/19_buggy,13,0,7,0,1,118,0,2,141,7.53
Time/20_buggy,13,0,7,0,1,118,0,2,141,7.53
Time/22_buggy,15,1,7,1,1,117,0,12,154,8.32
Time/23_buggy,15,1,7,1,1,117,0,12,154,8.32
Time/24_buggy,15,1,7,1,1,117,0,12,154,8.33
Time/25_buggy,15,1,7,1,1,117,0,12,154,8.34
Time/26_buggy,15,1,7,1,1,117,0,12,154,8.35
Time/27_buggy,15,1,7,1,1,117,0,12,154,8.38
